"","Name","Rating","latitude","longitude","price","review_count","categories"
"136","Nara Restaurant & Sake Bar",4.5,37.7721665317965,-122.430675700307,"$$",768,"Japanese Sushi Bars"
"137","Tommaso's",4,37.797778,-122.405204,"$$",1518,"Italian Pizza Seafood"
"138","Hot Cookie",4,37.76227,-122.43494,"$",1386,"Bakeries Desserts"
"139","The Monk's Kettle",4,37.7647290879634,-122.42297490884,"$$",2096,"Bars Gastropubs"
"140","Ryoko's",4,37.7881987776243,-122.412059158087,"$$",2700,"Sushi Bars Japanese"
"141","Sightglass Coffee",4,37.7768998,-122.4086371,"$$",1690,"Coffee & Tea"
"142","Molinari Delicatessen",4.5,37.79838,-122.40782,"$$",1032,"Delis"
"143","Boudin Bakery & Cafe",4,37.8084100293993,-122.41507940311,"$$",3032,"Bakeries Salad Sandwiches"
"144","Firefly Restaurant",4,37.751206,-122.438189,"$$$",1422,"American (New) Gluten-Free Desserts"
"145","Eight AM",4.5,37.806251,-122.419204,"$$",1019,"American (New) Breakfast & Brunch"
"146","Andytown Coffee Roasters",4.5,37.756805,-122.502283,"$",743,"Coffee & Tea"
"147","The Original Ghirardelli Ice Cream & Chocolate Shop",4,37.8058331714633,-122.422949041809,"$$",2327,"Ice Cream & Frozen Yogurt Chocolatiers & Shops"
"148","Samovar Tea - Yerba Buena Gardens",4,37.7841774486315,-122.402068620684,"$$",2240,"Tea Rooms Cafes Breakfast & Brunch"
"149","Mission Pie",4,37.750552,-122.418153,"$",1705,"Bakeries Cafes"
"150","Benu",4.5,37.785402,-122.399068,"$$$$",989,"American (New) Asian Fusion Wine Bars"
"151","Mymy",4,37.7909400620458,-122.419269534168,"$$",1527,"Breakfast & Brunch American (New)"
"152","La Fusión",4.5,37.7916357455614,-122.403691572642,"$$",1077,"Latin American Desserts Breakfast & Brunch"
"153","La Ciccia",4.5,37.7420027017,-122.426627318,"$$$",1021,"Seafood Sardinian"
"154","B Star Bar",4,37.78298,-122.46065,"$$",1767,"Burmese Asian Fusion Breakfast & Brunch"
"155","Acquerello",4.5,37.79157,-122.4213296,"$$$$",1040,"Italian Wine Bars Venues & Event Spaces"
"156","Woodhouse Fish",4,37.7676615910331,-122.42844209075,"$$",1587,"Seafood Fish & Chips Sandwiches"
"157","Sophie's Crepes",4,37.785048,-122.432093,"$",1639,"Desserts Creperies"
"158","Pacific Catch",4,37.80057,-122.43652,"$$",1529,"Seafood"
"159","Seven Hills",4.5,37.7953586,-122.4182303,"$$$",921,"Italian Seafood Wine Bars"
"160","AsiaSF",4,37.77503,-122.41281,"$$$",1737,"Asian Fusion Dance Clubs"
"161","Bella Trattoria",4,37.78148,-122.46085,"$$",1287,"Italian"
"162","DOSA on Valencia",4,37.7570921927691,-122.421059310436,"$$",2231,"Indian"
"163","Zuni Café",4,37.7734826,-122.4216396,"$$$",2610,"Italian French"
"164","Acme Bread Company",4.5,37.795752455393,-122.393647134304,"$",806,"Bakeries"
"165","Frascati",4.5,37.7983589172363,-122.419105529785,"$$$",1148,"American (New) Mediterranean"
"166","Blue Bottle Coffee",4,37.7960448083673,-122.393810043172,"$",1466,"Coffee & Tea"
"167","Pancho Villa Taqueria",4,37.7648138,-122.4212461,"$",2388,"Mexican"
"168","Hillstone",4,37.805712595582,-122.405280545354,"$$$",2059,"American (New) Diners Wine Bars"
"169","Quince",4,37.7975,-122.40336,"$$$$",1397,"French Italian"
"170","Pizzetta 211",4.5,37.783684,-122.482974,"$$",1185,"Pizza"
"171","The Taco Shop At Underdog's",4,37.76378,-122.47765,"$$",1726,"Sports Bars Mexican"
"172","Ebisu",4,37.7644547169329,-122.466417011814,"$$",1692,"Sushi Bars Japanese"
"173","Surisan",4.5,37.80678,-122.41756,"$$",1053,"Korean American (New) Breakfast & Brunch"
"174","Tuba Authentic Turkish Restaurant",4.5,37.7548912,-122.4228895,"$$",934,"Mediterranean Turkish"
"175","Roam Artisan Burgers",4,37.7979315072298,-122.428533956409,"$$",1488,"Burgers"
"176","Thorough Bread & Pastry",4.5,37.7665123809431,-122.429034858942,"$",795,"Patisserie/Cake Shop Cafes"
"177","Farm : Table",4,37.7876476643898,-122.414076908221,"$$",1631,"Coffee & Tea Breakfast & Brunch"
"178","The View Lounge",4,37.7853662725987,-122.404355941664,"$$",1524,"Lounges Beer, Wine & Spirits"
"179","La Mediterranee",4,37.7900665,-122.4338783,"$$",1420,"Middle Eastern Mediterranean Armenian"
"180","Blue Plate",4,37.74523,-122.42033,"$$$",1346,"American (Traditional) Comfort Food Wine Bars"
"181","Coqueta",4,37.7984671979957,-122.396616339684,"$$$",1835,"Spanish Tapas/Small Plates"
"182","Perbacco",4,37.7934543812786,-122.399336635582,"$$$",1940,"Italian Bars"
"183","Tadu Ethiopian Kitchen",4.5,37.7848298,-122.4142271,"$$",593,"Ethiopian"
"184","Tadich Grill",4,37.793431560349,-122.399468217791,"$$$",2214,"Seafood American (Traditional)"
"185","El Techo",4,37.7566307288009,-122.419098317624,"$$",1586,"Latin American Cocktail Bars"
"186","Leopold's",4.5,37.79892,-122.42207,"$$",993,"German Austrian Bars"
"187","Hakkasan",4,37.78771,-122.40385,"$$$",1588,"American (New) Cantonese Dim Sum"
"188","BIX",4,37.79686,-122.40291,"$$$",1709,"American (Traditional)"
"189","Akiko's Restaurant",4,37.790582,-122.404653,"$$",1760,"Sushi Bars Japanese"
